ID_Empleado,Periodo_Evaluacion,Score_Desempeno,Score_Potencial
EMP-0001,Periodo_2023,4,Medio
EMP-0001,Periodo_2024,5,Medio
EMP-0001,Periodo_2025,3,Medio
EMP-0002,Periodo_2023,4,Medio
EMP-0002,Periodo_2024,4,Bajo
EMP-0002,Periodo_2025,4,Medio
EMP-0003,Periodo_2023,2,Medio
EMP-0003,Periodo_2024,4,Alto
EMP-0003,Periodo_2025,3,Alto
EMP-0004,Periodo_2023,3,Medio
EMP-0004,Periodo_2024,1,Medio
EMP-0004,Periodo_2025,1,Medio
EMP-0005,Periodo_2023,3,Alto
EMP-0005,Periodo_2024,3,Alto
EMP-0005,Periodo_2025,3,Bajo
EMP-0006,Periodo_2023,3,Medio
EMP-0006,Periodo_2024,5,Alto
EMP-0006,Periodo_2025,4,Medio
EMP-0007,Periodo_2023,4,Medio
EMP-0007,Periodo_2024,3,Medio
EMP-0007,Periodo_2025,5,Alto
EMP-0008,Periodo_2023,3,Medio
EMP-0008,Periodo_2024,4,Medio
EMP-0008,Periodo_2025,3,Medio
EMP-0009,Periodo_2023,3,Medio
EMP-0009,Periodo_2024,3,Alto
EMP-0009,Periodo_2025,2,Medio
EMP-0010,Periodo_2023,3,Medio
EMP-0010,Periodo_2024,4,Medio
EMP-0010,Periodo_2025,2,Alto
EMP-0011,Periodo_2023,2,Alto
EMP-0011,Periodo_2024,3,Bajo
EMP-0011,Periodo_2025,5,Bajo
EMP-0012,Periodo_2023,3,Bajo
EMP-0012,Periodo_2024,2,Alto
EMP-0012,Periodo_2025,4,Bajo
EMP-0013,Periodo_2023,3,Medio
EMP-0013,Periodo_2024,3,Medio
EMP-0013,Periodo_2025,3,Medio
EMP-0014,Periodo_2023,3,Alto
EMP-0014,Periodo_2024,3,Bajo
EMP-0014,Periodo_2025,3,Bajo
EMP-0015,Periodo_2023,3,Medio
EMP-0015,Periodo_2024,3,Medio
EMP-0015,Periodo_2025,3,Bajo
EMP-0016,Periodo_2023,3,Medio
EMP-0016,Periodo_2024,2,Alto
EMP-0016,Periodo_2025,3,Alto
EMP-0017,Periodo_2023,2,Medio
EMP-0017,Periodo_2024,3,Alto
EMP-0017,Periodo_2025,3,Alto
EMP-0018,Periodo_2023,3,Medio
EMP-0018,Periodo_2024,3,Medio
EMP-0018,Periodo_2025,2,Medio
EMP-0019,Periodo_2023,3,Medio
EMP-0019,Periodo_2024,3,Bajo
EMP-0019,Periodo_2025,2,Medio
EMP-0020,Periodo_2023,3,Medio
EMP-0020,Periodo_2024,3,Medio
EMP-0020,Periodo_2025,4,Medio
EMP-0021,Periodo_2023,3,Medio
EMP-0021,Periodo_2024,5,Bajo
EMP-0021,Periodo_2025,2,Medio
EMP-0022,Periodo_2023,3,Bajo
EMP-0022,Periodo_2024,3,Medio
EMP-0022,Periodo_2025,2,Medio
EMP-0023,Periodo_2023,4,Bajo
EMP-0023,Periodo_2024,2,Medio
EMP-0023,Periodo_2025,3,Alto
EMP-0024,Periodo_2023,3,Bajo
EMP-0024,Periodo_2024,3,Medio
EMP-0024,Periodo_2025,3,Alto
EMP-0025,Periodo_2023,2,Bajo
EMP-0025,Periodo_2024,2,Alto
EMP-0025,Periodo_2025,3,Alto
EMP-0026,Periodo_2023,3,Medio
EMP-0026,Periodo_2024,3,Medio
EMP-0026,Periodo_2025,3,Medio
EMP-0027,Periodo_2023,1,Bajo
EMP-0027,Periodo_2024,3,Medio
EMP-0027,Periodo_2025,3,Medio
EMP-0028,Periodo_2023,4,Medio
EMP-0028,Periodo_2024,2,Alto
EMP-0028,Periodo_2025,3,Medio
EMP-0029,Periodo_2023,4,Medio
EMP-0029,Periodo_2024,4,Alto
EMP-0029,Periodo_2025,3,Medio
EMP-0030,Periodo_2023,4,Bajo
EMP-0030,Periodo_2024,3,Bajo
EMP-0030,Periodo_2025,3,Alto
EMP-0031,Periodo_2023,3,Bajo
EMP-0031,Periodo_2024,3,Alto
EMP-0031,Periodo_2025,3,Alto
EMP-0032,Periodo_2023,4,Bajo
EMP-0032,Periodo_2024,3,Medio
EMP-0032,Periodo_2025,4,Alto
EMP-0033,Periodo_2023,3,Medio
EMP-0033,Periodo_2024,2,Medio
EMP-0033,Periodo_2025,2,Medio
EMP-0034,Periodo_2023,2,Bajo
EMP-0034,Periodo_2024,2,Medio
EMP-0034,Periodo_2025,3,Bajo
EMP-0035,Periodo_2023,5,Medio
EMP-0035,Periodo_2024,3,Medio
EMP-0035,Periodo_2025,3,Bajo
EMP-0036,Periodo_2023,5,Medio
EMP-0036,Periodo_2024,1,Medio
EMP-0036,Periodo_2025,3,Bajo
EMP-0037,Periodo_2023,5,Bajo
EMP-0037,Periodo_2024,3,Alto
EMP-0037,Periodo_2025,3,Medio
EMP-0038,Periodo_2023,1,Bajo
EMP-0038,Periodo_2024,1,Alto
EMP-0038,Periodo_2025,4,Medio
EMP-0039,Periodo_2023,3,Alto
EMP-0039,Periodo_2024,3,Medio
EMP-0039,Periodo_2025,3,Bajo
EMP-0040,Periodo_2023,5,Medio
EMP-0040,Periodo_2024,4,Medio
EMP-0040,Periodo_2025,4,Bajo
EMP-0041,Periodo_2023,3,Alto
EMP-0041,Periodo_2024,1,Alto
EMP-0041,Periodo_2025,3,Medio
EMP-0042,Periodo_2023,4,Alto
EMP-0042,Periodo_2024,3,Medio
EMP-0042,Periodo_2025,3,Medio
EMP-0043,Periodo_2023,2,Bajo
EMP-0043,Periodo_2024,2,Medio
EMP-0043,Periodo_2025,3,Medio
EMP-0044,Periodo_2023,3,Bajo
EMP-0044,Periodo_2024,1,Bajo
EMP-0044,Periodo_2025,3,Bajo
EMP-0045,Periodo_2023,3,Medio
EMP-0045,Periodo_2024,2,Medio
EMP-0045,Periodo_2025,1,Bajo
EMP-0046,Periodo_2023,3,Bajo
EMP-0046,Periodo_2024,1,Medio
EMP-0046,Periodo_2025,1,Alto
EMP-0047,Periodo_2023,2,Medio
EMP-0047,Periodo_2024,4,Medio
EMP-0047,Periodo_2025,3,Medio
EMP-0048,Periodo_2023,3,Medio
EMP-0048,Periodo_2024,1,Medio
EMP-0048,Periodo_2025,2,Alto
EMP-0049,Periodo_2023,3,Bajo
EMP-0049,Periodo_2024,3,Bajo
EMP-0049,Periodo_2025,4,Alto
EMP-0050,Periodo_2023,2,Medio
EMP-0050,Periodo_2024,5,Bajo
EMP-0050,Periodo_2025,3,Medio
EMP-0051,Periodo_2023,1,Bajo
EMP-0051,Periodo_2024,5,Medio
EMP-0051,Periodo_2025,3,Medio
EMP-0052,Periodo_2023,4,Medio
EMP-0052,Periodo_2024,3,Bajo
EMP-0052,Periodo_2025,4,Bajo
EMP-0053,Periodo_2023,2,Medio
EMP-0053,Periodo_2024,1,Alto
EMP-0053,Periodo_2025,2,Bajo
EMP-0054,Periodo_2023,2,Medio
EMP-0054,Periodo_2024,3,Medio
EMP-0054,Periodo_2025,3,Medio
EMP-0055,Periodo_2023,5,Medio
EMP-0055,Periodo_2024,2,Medio
EMP-0055,Periodo_2025,3,Medio
EMP-0056,Periodo_2023,3,Medio
EMP-0056,Periodo_2024,3,Bajo
EMP-0056,Periodo_2025,3,Medio
EMP-0057,Periodo_2023,1,Alto
EMP-0057,Periodo_2024,2,Bajo
EMP-0057,Periodo_2025,1,Medio
EMP-0058,Periodo_2023,3,Bajo
EMP-0058,Periodo_2024,2,Medio
EMP-0058,Periodo_2025,3,Bajo
EMP-0059,Periodo_2023,3,Medio
EMP-0059,Periodo_2024,1,Alto
EMP-0059,Periodo_2025,4,Medio
EMP-0060,Periodo_2023,2,Medio
EMP-0060,Periodo_2024,3,Alto
EMP-0060,Periodo_2025,3,Medio
EMP-0061,Periodo_2023,5,Medio
EMP-0061,Periodo_2024,3,Medio
EMP-0061,Periodo_2025,3,Bajo
EMP-0062,Periodo_2023,4,Medio
EMP-0062,Periodo_2024,1,Alto
EMP-0062,Periodo_2025,1,Medio
EMP-0063,Periodo_2023,3,Medio
EMP-0063,Periodo_2024,1,Alto
EMP-0063,Periodo_2025,1,Medio
EMP-0064,Periodo_2023,1,Alto
EMP-0064,Periodo_2024,3,Alto
EMP-0064,Periodo_2025,2,Alto
EMP-0065,Periodo_2023,4,Medio
EMP-0065,Periodo_2024,1,Bajo
EMP-0065,Periodo_2025,1,Bajo
EMP-0066,Periodo_2023,4,Medio
EMP-0066,Periodo_2024,3,Medio
EMP-0066,Periodo_2025,2,Medio
EMP-0067,Periodo_2023,3,Medio
EMP-0067,Periodo_2024,3,Medio
EMP-0067,Periodo_2025,3,Alto
EMP-0068,Periodo_2023,3,Medio
EMP-0068,Periodo_2024,2,Medio
EMP-0068,Periodo_2025,3,Medio
EMP-0069,Periodo_2023,2,Medio
EMP-0069,Periodo_2024,3,Medio
EMP-0069,Periodo_2025,3,Alto
EMP-0070,Periodo_2023,3,Medio
EMP-0070,Periodo_2024,3,Alto
EMP-0070,Periodo_2025,3,Bajo
EMP-0071,Periodo_2023,3,Alto
EMP-0071,Periodo_2024,2,Medio
EMP-0071,Periodo_2025,4,Medio
EMP-0072,Periodo_2023,3,Bajo
EMP-0072,Periodo_2024,3,Bajo
EMP-0072,Periodo_2025,5,Medio
EMP-0073,Periodo_2023,4,Medio
EMP-0073,Periodo_2024,2,Medio
EMP-0073,Periodo_2025,3,Medio
EMP-0074,Periodo_2023,3,Medio
EMP-0074,Periodo_2024,3,Alto
EMP-0074,Periodo_2025,3,Medio
EMP-0075,Periodo_2023,3,Medio
EMP-0075,Periodo_2024,3,Medio
EMP-0075,Periodo_2025,3,Bajo
EMP-0076,Periodo_2023,4,Bajo
EMP-0076,Periodo_2024,3,Medio
EMP-0076,Periodo_2025,3,Medio
EMP-0077,Periodo_2023,3,Medio
EMP-0077,Periodo_2024,2,Medio
EMP-0077,Periodo_2025,3,Alto
EMP-0078,Periodo_2023,3,Medio
EMP-0078,Periodo_2024,4,Medio
EMP-0078,Periodo_2025,1,Medio
EMP-0079,Periodo_2023,3,Medio
EMP-0079,Periodo_2024,2,Medio
EMP-0079,Periodo_2025,2,Bajo
EMP-0080,Periodo_2023,3,Bajo
EMP-0080,Periodo_2024,4,Alto
EMP-0080,Periodo_2025,5,Medio
EMP-0081,Periodo_2023,3,Medio
EMP-0081,Periodo_2024,3,Bajo
EMP-0081,Periodo_2025,3,Medio
EMP-0082,Periodo_2023,3,Medio
EMP-0082,Periodo_2024,4,Bajo
EMP-0082,Periodo_2025,3,Bajo
EMP-0083,Periodo_2023,4,Medio
EMP-0083,Periodo_2024,3,Medio
EMP-0083,Periodo_2025,2,Medio
EMP-0084,Periodo_2023,3,Medio
EMP-0084,Periodo_2024,3,Medio
EMP-0084,Periodo_2025,3,Bajo
EMP-0085,Periodo_2023,3,Medio
EMP-0085,Periodo_2024,3,Medio
EMP-0085,Periodo_2025,4,Alto
EMP-0086,Periodo_2023,3,Medio
EMP-0086,Periodo_2024,1,Medio
EMP-0086,Periodo_2025,3,Medio
EMP-0087,Periodo_2023,2,Bajo
EMP-0087,Periodo_2024,1,Bajo
EMP-0087,Periodo_2025,1,Medio
EMP-0088,Periodo_2023,3,Medio
EMP-0088,Periodo_2024,4,Bajo
EMP-0088,Periodo_2025,4,Medio
EMP-0089,Periodo_2023,3,Bajo
EMP-0089,Periodo_2024,2,Medio
EMP-0089,Periodo_2025,2,Medio
EMP-0090,Periodo_2023,3,Medio
EMP-0090,Periodo_2024,3,Medio
EMP-0090,Periodo_2025,3,Medio
EMP-0091,Periodo_2023,2,Medio
EMP-0091,Periodo_2024,2,Medio
EMP-0091,Periodo_2025,1,Medio
EMP-0092,Periodo_2023,3,Medio
EMP-0092,Periodo_2024,3,Medio
EMP-0092,Periodo_2025,3,Medio
EMP-0093,Periodo_2023,3,Alto
EMP-0093,Periodo_2024,3,Medio
EMP-0093,Periodo_2025,3,Medio
EMP-0094,Periodo_2023,3,Bajo
EMP-0094,Periodo_2024,5,Medio
EMP-0094,Periodo_2025,4,Medio
EMP-0095,Periodo_2023,3,Medio
EMP-0095,Periodo_2024,3,Bajo
EMP-0095,Periodo_2025,3,Medio
EMP-0096,Periodo_2023,5,Medio
EMP-0096,Periodo_2024,3,Bajo
EMP-0096,Periodo_2025,1,Alto
EMP-0097,Periodo_2023,4,Medio
EMP-0097,Periodo_2024,3,Bajo
EMP-0097,Periodo_2025,4,Bajo
EMP-0098,Periodo_2023,4,Medio
EMP-0098,Periodo_2024,3,Alto
EMP-0098,Periodo_2025,5,Medio
EMP-0099,Periodo_2023,4,Medio
EMP-0099,Periodo_2024,4,Alto
EMP-0099,Periodo_2025,3,Medio
EMP-0100,Periodo_2023,4,Medio
EMP-0100,Periodo_2024,3,Medio
EMP-0100,Periodo_2025,4,Medio
EMP-0101,Periodo_2023,3,Medio
EMP-0101,Periodo_2024,1,Bajo
EMP-0101,Periodo_2025,2,Medio
EMP-0102,Periodo_2023,4,Medio
EMP-0102,Periodo_2024,5,Bajo
EMP-0102,Periodo_2025,5,Medio
EMP-0103,Periodo_2023,3,Medio
EMP-0103,Periodo_2024,2,Bajo
EMP-0103,Periodo_2025,1,Medio
EMP-0104,Periodo_2023,3,Alto
EMP-0104,Periodo_2024,2,Alto
EMP-0104,Periodo_2025,1,Bajo
EMP-0105,Periodo_2023,3,Alto
EMP-0105,Periodo_2024,4,Bajo
EMP-0105,Periodo_2025,3,Medio
EMP-0106,Periodo_2023,3,Medio
EMP-0106,Periodo_2024,4,Medio
EMP-0106,Periodo_2025,4,Medio
EMP-0107,Periodo_2023,3,Alto
EMP-0107,Periodo_2024,3,Medio
EMP-0107,Periodo_2025,4,Bajo
EMP-0108,Periodo_2023,3,Bajo
EMP-0108,Periodo_2024,1,Bajo
EMP-0108,Periodo_2025,1,Medio
EMP-0109,Periodo_2023,4,Medio
EMP-0109,Periodo_2024,3,Medio
EMP-0109,Periodo_2025,4,Alto
EMP-0110,Periodo_2023,4,Alto
EMP-0110,Periodo_2024,2,Medio
EMP-0110,Periodo_2025,3,Medio
EMP-0111,Periodo_2023,3,Bajo
EMP-0111,Periodo_2024,2,Alto
EMP-0111,Periodo_2025,3,Medio
EMP-0112,Periodo_2023,3,Medio
EMP-0112,Periodo_2024,3,Medio
EMP-0112,Periodo_2025,2,Bajo
EMP-0113,Periodo_2023,3,Medio
EMP-0113,Periodo_2024,2,Medio
EMP-0113,Periodo_2025,4,Medio
EMP-0114,Periodo_2023,2,Medio
EMP-0114,Periodo_2024,5,Alto
EMP-0114,Periodo_2025,4,Medio
EMP-0115,Periodo_2023,3,Medio
EMP-0115,Periodo_2024,3,Medio
EMP-0115,Periodo_2025,2,Medio
EMP-0116,Periodo_2023,5,Medio
EMP-0116,Periodo_2024,3,Medio
EMP-0116,Periodo_2025,2,Medio
EMP-0117,Periodo_2023,2,Medio
EMP-0117,Periodo_2024,3,Bajo
EMP-0117,Periodo_2025,3,Medio
EMP-0118,Periodo_2023,3,Medio
EMP-0118,Periodo_2024,3,Medio
EMP-0118,Periodo_2025,3,Bajo
EMP-0119,Periodo_2023,4,Bajo
EMP-0119,Periodo_2024,4,Medio
EMP-0119,Periodo_2025,3,Medio
EMP-0120,Periodo_2023,4,Alto
EMP-0120,Periodo_2024,3,Bajo
EMP-0120,Periodo_2025,4,Bajo
EMP-0121,Periodo_2023,4,Medio
EMP-0121,Periodo_2024,5,Alto
EMP-0121,Periodo_2025,2,Medio
EMP-0122,Periodo_2023,2,Bajo
EMP-0122,Periodo_2024,3,Bajo
EMP-0122,Periodo_2025,4,Alto
EMP-0123,Periodo_2023,3,Medio
EMP-0123,Periodo_2024,3,Alto
EMP-0123,Periodo_2025,2,Medio
EMP-0124,Periodo_2023,4,Bajo
EMP-0124,Periodo_2024,5,Alto
